"cell","gene","garp_score","p_value"
"BT-20","ACTL6A","-0.4366642","0.147"
"BT-474","ACTL6A","-0.5531209","0.057"
"BT-549","ACTL6A","-0.7627341","0.044"
"CAL-51","ACTL6A","-0.3135105","0.077"
"CAMA-1","ACTL6A","-0.8165258","0.024"
"EFM-19","ACTL6A","-0.2646267","0.172"
"HCC1143","ACTL6A","-0.4465724","0.375"
"HCC1187","ACTL6A","-0.5101762","0.149"
"HCC1395","ACTL6A","-0.4604407","0.213"
"HCC1419","ACTL6A","-0.7863931","0.006"
"HCC1428","ACTL6A","-0.4145955","0.486"
"HCC1500","ACTL6A","-0.1477376","0.586"
"HCC1806","ACTL6A","-0.6028344","0.271"
"HCC1937","ACTL6A","-0.1027535","0.568"
"HCC1954","ACTL6A","-0.6266913","0.025"
"HCC38","ACTL6A","-0.1145943","0.791"
"Hs-578T","ACTL6A","-0.1071223","0.341"
"KPL-1","ACTL6A","-0.1814491","0.133"
"MCF7","ACTL6A","-0.119727","0.197"
"MDA-MB-157","ACTL6A","-0.3251951","0.154"
"MDA-MB-231","ACTL6A","-0.2712831","0.339"
"MDA-MB-361","ACTL6A","-0.376931","0.173"
"MDA-MB-436","ACTL6A","-0.4977783","0.146"
"MDA-MB-453","ACTL6A","-0.02428846","0.481"
"MDA-MB-468","ACTL6A","-0.2157491","0.236"
"SK-BR-3","ACTL6A","-0.3551227","0.398"
"SW527","ACTL6A","-0.2539759","0.151"
"T-47D","ACTL6A","-0.1798863","0.61"
"ZR-75-1","ACTL6A","-0.4870747","0.158"
"609050M","ACTL6A","-0.2209625","0.386"
"A2780","ACTL6A","-0.09922107","0.361"
"A2780_CIS","ACTL6A","-0.1738","0.271"
"MM_OVCAR432_Bast_1","ACTL6A","-0.5883527","0.511"
"OV-1946","ACTL6A","-0.6386895","0.258"
"OV-90","ACTL6A","-0.2450692","0.292"
"OVCA1369_TR","ACTL6A","-1.700088","0.246"
"OVCA433_Bast","ACTL6A","-0.5745445","0.544"
"OVCA5","ACTL6A","-0.1306229","0.613"
"OVCA8","ACTL6A","-0.8170444","0.004"
"OVCAR-3","ACTL6A","-0.5601504","0.379"
"SK-OV-3","ACTL6A","-0.004701363","0.857"
"TOV-1946","ACTL6A","-0.5937785","0.18"
"TOV-2223G","ACTL6A","-0.2257152","0.36"
"TOV-3133G","ACTL6A","-0.1625915","0.354"
"AsPC-1","ACTL6A","-0.2672241","0.158"
"BxPC-3","ACTL6A","-0.3924321","0.258"
"CFPAC-1","ACTL6A","-0.03983903","0.754"
"Capan-2","ACTL6A","-0.006664113","0.894"
"HPAC","ACTL6A","-0.1428641","0.197"
"HPAF-II","ACTL6A","-0.2473317","0.264"
"HPDE","ACTL6A","-2.418623","0.353"
"Hs-766T","ACTL6A","-0.894798","0.247"
