"gene","cell","tissue","exp","cnv"
"ACTL6A","1321N1","CENTRAL NERVOUS SYSTEM","10.973","0.2674"
"ACTL6A","143B","BONE","11.008","0.2202"
"ACTL6A","22RV1","PROSTATE","11.005","-0.0016"
"ACTL6A","42MGBA","CENTRAL NERVOUS SYSTEM","9.8663","-0.2134"
"ACTL6A","5637","URINARY TRACT","10.107","-0.3715"
"ACTL6A","639V","URINARY TRACT","9.4408","0.1152"
"ACTL6A","647V","URINARY TRACT","11.125","0.2617"
"ACTL6A","697","HAEMATOPOIETIC AND LYMPHOID TISSUE","10.781","-0.0183"
"ACTL6A","769P","KIDNEY","10.203","0.0307"
"ACTL6A","786O","KIDNEY","9.8436","0.1347"
"ACTL6A","8305C","THYROID","10.215","0.0587"
"ACTL6A","8505C","THYROID","10.842","0.3806"
"ACTL6A","8MGBA","CENTRAL NERVOUS SYSTEM","11.232","0.3899"
"ACTL6A","A101D","SKIN","10.487","0.2196"
"ACTL6A","A172","CENTRAL NERVOUS SYSTEM","10.83","0.6009"
"ACTL6A","A204","SOFT TISSUE","10.572","0.00925"
"ACTL6A","A253","SALIVARY GLAND","11.489","0.6673"
"ACTL6A","A2780","OVARY","10.881","0.0092"
"ACTL6A","A375","SKIN","10.071","-0.3382"
"ACTL6A","A498","KIDNEY","9.5602","-0.0499"
"ACTL6A","A549","LUNG","10.184","-0.4328"
"ACTL6A","A673","BONE","10.736","0.0564"
"ACTL6A","A704","KIDNEY","9.5359","0.1076"
"ACTL6A","ABC1","LUNG","11.607","1.033"
"ACTL6A","ACCMESO1","PLEURA","10.874","0.0476"
"ACTL6A","ACHN","KIDNEY","10.51","-0.1885"
"ACTL6A","AGS","STOMACH","10.762","-0.0309"
"ACTL6A","ALEXANDERCELLS","LIVER","9.4726","-1.234"
"ACTL6A","AM38","CENTRAL NERVOUS SYSTEM","10.545","-0.04612"
"ACTL6A","AML193","HAEMATOPOIETIC AND LYMPHOID TISSUE","11.339","0.4028"
"ACTL6A","AMO1","HAEMATOPOIETIC AND LYMPHOID TISSUE","10.65","0.2324"
"ACTL6A","AN3CA","ENDOMETRIUM","9.9449","-0.07865"
"ACTL6A","ASPC1","PANCREAS","9.2298","-0.236"
"ACTL6A","AU565","BREAST","10.175","0.3471"
"ACTL6A","AZ521","STOMACH","10.906","0.0038"
"ACTL6A","BC3C","URINARY TRACT","10.451","0.405"
"ACTL6A","BCP1","HAEMATOPOIETIC AND LYMPHOID TISSUE","10.433","-0.0154"
"ACTL6A","BCPAP","THYROID","8.0251","-0.01693"
"ACTL6A","BDCM","HAEMATOPOIETIC AND LYMPHOID TISSUE","10.597","0.0236"
"ACTL6A","BECKER","CENTRAL NERVOUS SYSTEM","11.135","0.4969"
"ACTL6A","BEN","LUNG","9.8128","-0.1624"
"ACTL6A","BFTC905","URINARY TRACT","11.115","0.906"
"ACTL6A","BFTC909","KIDNEY","10.542","0.4606"
"ACTL6A","BHT101","THYROID","10.255","0.2814"
"ACTL6A","BHY","UPPER AERODIGESTIVE TRACT","9.431","0.108"
"ACTL6A","BICR16","UPPER AERODIGESTIVE TRACT","11.019","0.7664"
"ACTL6A","BICR18","UPPER AERODIGESTIVE TRACT","11.299","1.102"
"ACTL6A","BICR22","UPPER AERODIGESTIVE TRACT","11.731","1.718"
"ACTL6A","BICR31","UPPER AERODIGESTIVE TRACT","11.594","0.8942"
"ACTL6A","BICR56","UPPER AERODIGESTIVE TRACT","9.9552","0.5223"
