"protein","freq"
"ACTL6A","43"
"ACTL6B","46"
"ACTR5","44"
"ACTR8","37"
"ARID1A","1001"
"ARID1B","170"
"ASH1L","277"
"CARM1","75"
"CDYL","71"
"CHD3","167"
"CHD4","134"
"CHRAC1","7"
"CREBBP","681"
"DNMT1","176"
"DNMT3A","1673"
"DNMT3B","159"
"DOT1L","118"
"EHMT1","218"
"EHMT2","88"
"ELP3","36"
"EP300","510"
"EZH1","61"
"EZH2","662"
"FBXO10","75"
"GTF3C4","53"
"HAT1","40"
"HDAC1","65"
"HDAC10","26"
"HDAC11","39"
"HDAC2","110"
"HDAC3","68"
"HDAC4","174"
"HDAC5","67"
"HDAC6","146"
"HDAC7","60"
"HDAC8","30"
"HDAC9","201"
"HIF1AN","40"
"HINFP","48"
"HR","118"
"HSPBAP1","31"
"ING1","59"
"ING2","20"
"ING3","34"
"ING4","31"
"ING5","13"
"INO80","119"
"INO80B","22"
"INO80C","18"
"INO80D","66"
"INO80E","25"
"JARID2","174"
"JMJD1C","178"
"JMJD4","28"
"JMJD6","33"
"JMJD7","112"
"JMJD8","5"
"KAT2A","52"
"KAT2B","71"
"KAT5","36"
"KDM1A","49"
"KDM1B","54"
"KDM2A","80"
"KDM2B","64"
"KDM3A","94"
"KDM3B","175"
"KDM4A","71"
"KDM4B","88"
"KDM4C","110"
"KDM4D","55"
"KDM5A","239"
"KDM5B","6"
"KDM5C","158"
"KDM5D","39"
"KDM6A","325"
"KDM6B","92"
"MBD1","70"
"MBD2","23"
"MBD3","21"
"MBD4","53"
"MCRS1","40"
"MECP2","41"
"MGEA5","51"
"MINA","38"
"MTA1","59"
"MTA2","53"
"MTA3","39"
"NAT10","77"
"NCOA1","164"
"NCOA3","538"
"NFRKB","96"
"NSD1","288"
"PHF2","111"
"PHF8","88"
"PRDM2","288"
"PRDM9","333"
"PRMT1","30"
"PRMT2","34"
"PRMT3","50"
"PRMT5","53"
"PRMT6","32"
"PRMT7","49"
"PRMT8","80"
"RBBP4","36"
"RBBP7","58"
"RING1","38"
"RUVBL1","38"
"RUVBL2","2"
"SETD1A","278"
"SETD1B","62"
"SETD2","662"
"SETD3","56"
"SETD4","37"
"SETD5","106"
"SETD6","27"
"SETD7","70"
"SETD8","68"
"SETDB1","272"
"SETDB2","94"
"SETMAR","30"
"SIRT1","62"
"SIRT2","27"
"SIRT3","28"
"SIRT4","27"
"SIRT5","24"
"SIRT6","16"
"SIRT7","35"
"SMARCA1","125"
"SMARCA4","413"
"SMARCA5","73"
"SMARCC1","82"
"SMARCC2","108"
"SMARCD1","36"
"SMARCD2","29"
"SMARCD3","52"
"SMYD1","92"
"SMYD2","40"
"SMYD3","41"
"SMYD4","50"
"SMYD5","23"
"SUV39H1","36"
"SUV39H2","41"
"SUV420H1","125"
"SUV420H2","20"
"TAF1","323"
"TET1","96"
"TET2","1643"
"TFPT","37"
"UCHL5","40"
"UTY","22"
"WHSC1","218"
"WHSC1L1","90"
"YY1","19"
