"uniprot_id","gene","super_id","start_site","end_site","e-value"
"P29375","KDM5A","0047105","348","405","2.72e-40"
"P29375","KDM5A","0046063","65","179","1.96e-30"
"P29375","KDM5A","0050474","288","349","2.66e-17"
"P29375","KDM5A","0050473","1139","1222","2.66e-14"
"P29375","KDM5A","0050470","1602","1669","1.62e-12"
"P41229","KDM5C","0047105","385","436","4.94e-37"
"P41229","KDM5C","0046063","60","181","6.54e-32"
"P41229","KDM5C","0050474","312","379","3.99e-17"
"P41229","KDM5C","0050470","1181","1258","4.65e-12"
"P51608","MECP2","0049847","73","187","6.54e-33"
"P55345","PRMT2","0048629","105","421","1.63e-72"
"P55345","PRMT2","0043854","20","87","1.29e-16"
"P56524","HDAC4","0054863","651","1032","1.39e-117"
"Q03164","KMT2A","0048183","3824","3966","5.10e-48"
"Q03164","KMT2A","0050474","1467","1537","1.48e-11"
"Q03164","KMT2A","0050470","1567","1635","1.93e-10"
"Q03164","KMT2A","0047674","1704","1768","5.49e-06"
"Q03164","KMT2A","0050472","1428","1480","9.08e-04"
"Q06587","RING1","0050087","33","105","1.63e-17"
"Q09028","RBBP4","0047761","114","409","3.66e-53"
"Q09472","EP300","0053605","567","651","3.14e-36"
"Q09472","EP300","0046608","1035","1161","2.09e-35"
"Q09472","EP300","0040367","326","421","7.59e-29"
"Q09472","EP300","0040011","2043","2098","6.28e-25"
"Q09472","EP300","0037431","1727","1812","1.70e-24"
"Q09472","EP300","0053608","1663","1709","3.30e-12"
"Q12873","CHD3","0051485","969","1244","6.98e-71"
"Q12873","CHD3","0051486","735","967","1.29e-53"
"Q12873","CHD3","0051887","471","518","6.41e-17"
"Q12873","CHD3","0051886","611","684","2.36e-16"
"Q12873","CHD3","0050474","369","425","4.43e-16"
"Q12873","CHD3","0035973","159","198","7.96e-05"
"Q13029","PRDM2","0048228","24","142","1.47e-09"
"Q13029","PRDM2","0052279","1132","1181","2.36e-09"
"Q13029","PRDM2","0052279","360","412","1.16e-08"
"Q13029","PRDM2","0050784","1171","1217","1.34e-04"
"Q13029","PRDM2","0045249","481","509","5.12e-04"
"Q13330","MTA1","0052261","286","338","2.39e-12"
"Q13547","HDAC1","0043894","9","373","3.88e-132"
"Q14839","CHD4","0051485","959","1229","7.43e-72"
"Q14839","CHD4","0051486","705","957","1.21e-54"
"Q14839","CHD4","0051887","464","511","2.75e-18"
"Q14839","CHD4","0050473","342","416","1.42e-16"
"Q14839","CHD4","0051886","606","675","2.36e-16"
"Q14839","CHD4","0050522","173","213","1.12e-03"
"Q15047","SETDB1","0048228","664","861","9.42e-79"
"Q15047","SETDB1","0036316","596","670","5.89e-13"
"Q15047","SETDB1","0043739","259","310","2.71e-03"
"Q15652","JMJD1C","0047105","2154","2348","2.03e-40"
"Q15652","JMJD1C","0053820","1844","1909","4.59e-04"
"Q15788","NCOA1","0048579","260","365","1.33e-20"
"Q15788","NCOA1","0053766","920","966","2.35e-15"
"Q15788","NCOA1","0048579","120","184","3.14e-14"
"Q15788","NCOA1","0038629","14","87","3.66e-08"
"Q15910","EZH2","0048183","515","736","8.39e-62"
"Q15910","EZH2","0050913","431","469","1.54e-03"
"Q16576","RBBP7","0047761","111","408","1.48e-53"
"Q4FZB7","SUV420H1","0041233","181","326","3.27e-31"
"Q53H47","SETMAR","0048228","24","269","3.14e-64"
"Q6B0I6","KDM4D","0047105","89","310","5.08e-38"
"Q6GMV2","SMYD5","0048273","27","65","2.35e-27"
"Q6GMV2","SMYD5","0052402","108","137","6.80e-04"
"Q6NYC1","JMJD6","0047105","27","322","2.75e-63"
"Q6P2P2","PRMT9","0048629","151","460","2.50e-37"
"Q6P2P2","PRMT9","0048629","682","841","5.40e-16"
"Q6P2P2","PRMT9","0054057","32","144","1.64e-12"
"Q6STE5","SMARCD3","0044599","253","343","1.55e-26"
"Q6ZMT4","KDM7A","0047105","140","408","5.49e-59"
"Q6ZMT4","KDM7A","0050470","32","101","2.88e-19"
"Q7LBC6","KDM3B","0047105","1378","1572","1.92e-46"
"Q7LBC6","KDM3B","0050054","1026","1059","2.93e-03"
"Q86TU7","SETD3","0040998","79","333","2.52e-63"
"Q86TU7","SETD3","0040997","337","519","4.45e-50"
"Q86X55","CARM1","0048629","152","461","1.29e-72"
"Q86Y97","SUV420H2","0041233","91","236","1.31e-29"
"Q8IXJ6","SIRT2","0047535","59","353","1.40e-93"
"Q8IYR2","SMYD4","0048183","240","267","3.49e-20"
"Q8IYR2","SMYD4","0048699","63","169","2.74e-14"
"Q8IYR2","SMYD4","0052402","294","337","2.62e-09"
"Q8IYR2","SMYD4","0054057","661","770","3.50e-03"
"Q8IZD2","KMT2E","0048183","342","463","3.40e-27"
"Q8IZD2","KMT2E","0050470","109","173","1.57e-16"
"Q8N371","KDM8","0050303","183","415","2.20e-69"
"Q8N6T7","SIRT6","0047535","3","277","2.10e-77"
"Q8NB12","SMYD1","0040998","8","253","9.81e-38"
"Q8NB78","KDM1B","0053857","382","670","1.02e-72"
"Q8NB78","KDM1B","0035331","655","769","3.73e-25"
"Q8NB78","KDM1B","0052200","272","378","4.84e-20"
"Q8NE22","SETD9","0048273","134","171","8.07e-07"
"Q8NEZ4","KMT2C","0041233","4753","4911","1.70e-48"
"Q8NEZ4","KMT2C","0050474","381","443","1.31e-13"
"Q8NEZ4","KMT2C","0050474","1000","1061","2.88e-13"
"Q8NEZ4","KMT2C","0050474","950","1008","1.04e-10"
"Q8NEZ4","KMT2C","0050470","1074","1141","7.31e-10"
"Q8NEZ4","KMT2C","0037717","337","392","5.32e-09"
"Q8NEZ4","KMT2C","0050474","457","520","2.88e-07"
"Q8NEZ4","KMT2C","0035973","1655","1702","1.44e-05"
"Q8NFD5","ARID1B","0049275","1038","1151","8.37e-32"
"Q8NFD5","ARID1B","0051071","2066","2206","1.51e-04"
"Q8NHM5","KDM2B","0047105","71","373","1.21e-56"
"Q8NHM5","KDM2B","0037738","1081","1313","6.28e-30"
"Q8NHM5","KDM2B","0050474","654","732","3.02e-08"
"Q8TAQ2","SMARCC2","0052200","420","526","9.86e-37"
"Q8TAQ2","SMARCC2","0040338","137","192","7.41e-13"
"Q8TAQ2","SMARCC2","0050538","598","649","4.56e-12"
"Q8TBK2","SETD6","0040998","24","303","8.18e-51"
"Q8TBK2","SETD6","0040997","296","470","1.06e-14"
"Q8TEK3","DOT1L","0041593","6","329","1.99e-94"
"Q8WTS6","SETD7","0041233","194","353","5.23e-40"
"Q8WTS6","SETD7","0038399","54","166","1.24e-27"
"Q8WUI4","HDAC7","0054863","517","899","1.82e-116"
"Q8WYB5","KAT6B","0053259","719","987","6.26e-109"
"Q8WYB5","KAT6B","0050474","256","327","1.46e-17"
"Q8WYB5","KAT6B","0049992","101","180","8.71e-09"
"Q8WYB5","KAT6B","0050417","1070","1105","1.41e-04"
"Q8WYB5","KAT6B","0050474","202","270","7.97e-04"
"Q8WYH8","ING5","0050473","163","238","3.50e-25"
"Q92769","HDAC2","0043894","10","374","7.19e-131"
"Q92793","CREBBP","0053605","589","672","1.44e-36"
"Q92793","CREBBP","0046608","1072","1197","1.14e-35"
"Q92793","CREBBP","0040367","344","438","2.75e-28"
"Q92793","CREBBP","0040011","2059","2115","2.71e-26"
"Q92793","CREBBP","0037431","1764","1848","6.41e-24"
"Q92793","CREBBP","0053608","1700","1747","4.00e-12"
"Q92793","CREBBP","0037717","1278","1319","4.03e-03"
"Q92794","KAT6A","0053259","508","776","6.07e-112"
"Q92794","KAT6A","0050474","251","322","1.20e-17"
"Q92794","KAT6A","0051371","92","175","4.63e-07"
"Q92794","KAT6A","0050474","195","263","2.66e-05"
"Q92800","EZH1","0048183","511","737","8.63e-62"
"Q92800","EZH1","0050913","433","472","3.11e-04"
"Q92830","KAT2A","0046608","706","831","2.09e-35"
"Q92830","KAT2A","0046177","503","658","4.61e-21"
"Q92831","KAT2B","0046608","713","826","1.57e-38"
"Q92831","KAT2B","0046177","509","653","3.24e-20"
"Q92833","JARID2","0049275","603","710","1.96e-23"
"Q92833","JARID2","0047105","894","1068","1.07e-11"
"Q92922","SMARCC1","0052200","445","550","5.73e-35"
"Q92922","SMARCC1","0040338","167","220","2.01e-14"
"Q92922","SMARCC1","0050538","619","672","2.02e-12"
"Q92925","SMARCD2","0044599","301","391","2.40e-24"
"Q92993","KAT5","0046883","228","504","1.04e-109"
"Q92993","KAT5","0050533","3","118","5.29e-22"
"Q969S8","HDAC10","0054863","1","358","5.28e-110"
"Q969S8","HDAC10","0035837","381","660","4.51e-11"
"Q96DB2","HDAC11","0054863","13","320","1.06e-74"
"Q96EB6","SIRT1","0047535","229","508","6.95e-86"
"Q96EW2","HSPBAP1","0050303","23","309","7.97e-62"
"Q96EZ8","MCRS1","0038313","345","448","1.65e-12"
"Q96GM5","SMARCD1","0044599","285","375","6.98e-29"
"Q96KQ7","EHMT2","0048228","912","1170","1.70e-85"
"Q96KQ7","EHMT2","0053922","653","892","1.51e-65"
"Q96L73","NSD1","0048228","1863","2072","1.20e-71"
"Q96L73","NSD1","0047802","1746","1876","2.53e-27"
"Q96L73","NSD1","0047119","317","411","1.26e-19"
"Q96L73","NSD1","0050474","1695","1764","3.54e-14"
"Q96L73","NSD1","0050473","2096","2163","8.42e-11"
"Q96L73","NSD1","0050473","1532","1587","6.87e-10"
"Q96LA8","PRMT6","0048629","51","365","6.27e-71"
"Q96S16","JMJD8","0047105","106","330","9.89e-38"
"Q96T68","SETDB2","0048228","228","428","1.87e-66"
"Q96T68","SETDB2","0036316","162","234","1.99e-10"
"Q99873","PRMT1","0048629","46","360","1.05e-101"
"Q9BQA5","HINFP","0052279","254","306","5.03e-10"
"Q9BQA5","HINFP","0052279","174","219","2.62e-08"
"Q9BQA5","HINFP","0045110","196","252","1.79e-07"
